100044	1899	1	5	831;55;198;8;450;7;39;5;111
100054	1987	2	6	0
100065	1989	1	57	0
100080	1986	1	31	113;41;44;48;91;96;42;79;92;35
100086	1986	1	129	0
100097	1981	1	75	0
100100	1984	1	47	71;51
100101	2003	1	31	0
100116	1988	2	39	35
100117	2009	2	37	0
100122	1891	1	17	0
100133	2004	2	3	0
100136	1991	1	345	0
100137	2011	1	44	417;63;13;2
100144	1987	1	39	0
100153	1990	1	31	1;4;100;18;71;64;11;3;6
100155	1986	1	32	0
100160	0-0-	0	6	0
100177	1983	1	70	120;8;48;19;86;49;18;77;4;37
100187	1984	2	222	88;109;46;14332;68;43563;16
100200	1973	1	223	9;58;495;48;65;24;1;63;2;94
100217	0-0-	0	488	2;314;7;34;34335;21;1016
100218	1990	1	8	0
100232	1994	1	39	0
100248	1983	1	0	0
100267	1985	1	57	0
100283	1978	2	8	0
100303	1987	1	80	74;8;73;176;71;1;5431;62;69
100338	1983	1	27	0
100344	2008	2	329	0
100349	1986	1	3	0
100352	1988	2	195	3;2;1;5;11;4;10;12;13;7
100371	0-0-	0	20	0
100379	1980	2	168	7;8;4;23264;31;49;91;1;44;18
100387	1988	2	32	7;4;5;19;116;13;3;52;123
100391	1989	1	400	8;767;77831;27301;69203;6;44
100393	1983	1	2	0
100396	1984	1	18	0
100403	1902	2	282	0
100427	1994	1	32	0
100464	1900	1	78	0
100469	2010	2	125	44;4;43;5;18;1;74;6;31;7
100495	1993	2	70	11;13;1;2;18;25;12;4;5;10
100513	1989	1	39	11;18;3;22;1;4;25;2
100533	1990	2	838	20237;11936;5;11881;9;24;159945
100555	2010	2	278	0
100558	1986	1	0	0
100568	1993	1	89	0
100573	1-10	1	262	28;17;44;1;9
100578	1972	1	10	0
100585	1988	1	104	0
100591	1993	1	223	28;24;7
100592	1892	1	2	0
100619	1992	1	33	0
100643	1996	2	201	26;42;2;1;6;10;72;32;112
100649	2000	2	62	0
100653	1997	1	90	1;12;6;22;50;26399
100655	1966	2	53	0
100661	1996	2	311	3;364;64;228;12;1
100662	1995	1	18	97;77;117
100676	1987	1	8	92;35;41
100677	1989	1	1	0
100680	1980	1	2	0
100682	1989	2	257	0
100701	1992	1	4	0
100727	1988	2	71	0
100733	1987	1	14	3;56;50404;2;19;134;11;1
100734	1900	1	118	26;1;30;69;2;57;36;3;40
100749	1999	2	0	0
100752	1969	2	33	0
100767	1990	1	23	0
100768	1987	2	83	0
100772	2008	2	5	0
100780	1994	1	6	0
100818	0-0-	0	14	0
100833	1997	1	13	0
100856	1984	1	74	0
100859	1-1-	1	63	4;2;139;1;10
100871	1966	1	4	0
100873	1997	1	54	0
100874	1971	1	15	0
100899	1989	1	130	11;35;10;1;25;17;56;5;4;16
100905	2010	2	56	0
100912	1999	2	36	0
100913	2008	2	177	0
100924	1992	2	538	0
100946	1990	1	167	1;42;10;77;120;92;2;48;52;6
100949	1999	2	40	10;11;1;32;3;14
100952	1974	2	100	10;43;1;2;13;4
100953	1992	1	264	0
100963	2006	1	42	0
100971	1909	2	69	0
100995	2000	2	14	0
100996	1977	2	328	0
101009	1982	1	8	5;606;7;748;2663;11;3422;2706;32;930
101026	1981	1	18	0
101027	1989	2	7	0
101042	1991	1	19	0
101053	2009	2	86	1;3;12;7;19;23;4;2;31
101062	1986	2	237	13;12;4;5;7;34;1;21
101066	2006	2	393	0
101096	1991	2	102	0
101103	1982	1	39	0
101110	1996	1	292	33;6;45;269959;173;30;2;39;11;26
101113	1989	1	169	0
101120	1990	2	0	71
101139	1995	1	140	129801
101142	1988	1	469	4;1;38
101144	2010	2	231	0
101158	1996	1	849	4;21;12;5;2;7;81;1;13;18
101165	2001	2	506	0
101166	1997	2	24	0
101182	1997	1	8	0
101199	1997	2	1464	6;2;1;3
101201	1995	1	145	173;16;716
101205	1990	2	91	0
101208	1992	2	27	0
101218	0-7-	0	46	0
101224	1989	2	126	0
101226	1989	1	290	0
101260	1995	1	62	0
101269	1994	1	5	28;60;16
101273	1991	1	579	71;79;6
101274	1999	1	105	85738;11;4;43175;49065;19;18;26673
101283	1993	2	75	62;110;1;24;6
101287	1-3-	1	6	0
101310	1973	1	9	0
101315	1987	2	8	0
101320	1992	1	62	75
101325	1987	1	12	0
101341	1990	2	415	0
101348	2011	2	290	0
101351	1987	2	0	0
101377	1990	1	339	11;46;39;7;1523;6;13;1;5;4
101390	1906	1	84	30;39;9;68;20;36;26;37
101397	1995	2	4	12;23;4;3;7
101410	1980	1	0	0
101437	1995	1	182	41;73;62;2;70;1;18;22;10;6
101445	1993	1	380	0
101458	1989	2	114	0
101463	1991	2	15	0
101466	1989	1	0	90;117
101473	1917	1	2	0
101480	1991	2	41	0
101482	1997	1	0	0
101492	1993	1	389	7732;181;26;80;48;6;57;15;51
101494	1967	1	31	4;49;2;25;1;19;5
101507	1997	2	91	0
101513	1991	1	156	24;6;11756;80;88;94;73;11
101516	1998	2	5	9;24;1;14
101535	1997	1	19	0
101583	1965	1	18	0
101595	1988	2	38	0
101634	1994	1	119	0
101643	2010	1	24	364950;1065;5341
101654	1989	1	151	110670;603;8
101669	1996	1	94	0
101678	1999	2	208	19;248;10;14;32;2;1
101679	1969	1	129	0
101684	1999	2	96	2;5;11;1;13;7;32;14;19;12
101698	1987	2	26	0
101731	1995	1	0	0
101763	1994	1	109	0
101766	1992	1	510	26104;71;27;1;6;39;83;50;78
101775	1970	2	17	0
101779	1991	2	11	0
101784	1992	1	19	0
101791	1975	1	593	0
101805	1989	2	128	2;3;35;116;80;31;91;34;66;49
101809	1994	1	77	0
101818	1992	1	115	55;77;51
101858	0-0-	2	303	1;410;12;31;5;13;23;14;2
101866	1988	1	33	0
101872	1990	2	204	0
101873	2000	2	199	0
101876	1989	1	76	0
101877	1996	1	46	0
101888	2011	2	2	0
101893	1991	1	220	39;1;4;41;17;43;26;330322;6;12
101904	1998	2	0	0
101911	1990	1	246	16;6;147;327;46;39
101915	1988	2	28	55
101935	1989	2	10	0
101936	1997	1	35	0
101945	0-0-	1	4	0
101961	1989	2	95	9
101974	1988	2	14	0
101983	1984	2	85	23;4;2;13;7;3;34;1
101994	1991	2	35	0
102007	1986	1	6	0
102033	1997	2	873	116
